@relation 3FightABQ

@attribute ﻿FightID numeric
@attribute FighterA {FighterA}
@attribute 'SS A Rd1' numeric
@attribute 'SS A Rd2' numeric
@attribute 'SS A Rd3' numeric
@attribute FighterB {FighterB}
@attribute 'SS B Rd1' numeric
@attribute 'SS B Rd2' numeric
@attribute 'SS B Rd3' numeric
@attribute 'Decision ' {KO,Scorecard,Submission}
@attribute Winner {FighterA,FighterB}

@data
32,FighterA,25,41,?,FighterB,18,31,?,KO,FighterA
33,FighterA,27,15,?,FighterB,14,7,?,Scorecard,FighterA
34,FighterA,23,26,?,FighterB,19,15,?,KO,FighterA
35,FighterA,33,19,?,FighterB,18,15,?,KO,FighterA
38,FighterA,42,73,?,FighterB,39,51,?,KO,FighterA
39,FighterA,11,25,?,FighterB,4,16,?,Scorecard,FighterB
40,FighterA,13,18,?,FighterB,12,14,?,Scorecard,FighterA
41,FighterA,19,11,?,FighterB,6,9,?,Scorecard,FighterB
42,FighterA,11,28,?,FighterB,10,11,?,Scorecard,FighterA
43,FighterA,25,30,?,FighterB,9,4,?,Scorecard,FighterA
44,FighterA,21,69,?,FighterB,30,37,?,Scorecard,FighterA
45,FighterA,15,17,?,FighterB,12,16,?,KO,FighterA
46,FighterA,22,38,?,FighterB,4,7,?,Scorecard,FighterA
47,FighterA,25,45,?,FighterB,4,6,?,Submission,FighterA
48,FighterA,25,13,?,FighterB,8,19,?,Scorecard,FighterA
49,FighterA,21,21,?,FighterB,22,22,?,Scorecard,FighterB
50,FighterA,28,23,?,FighterB,4,5,?,Scorecard,FighterA
51,FighterA,14,8,?,FighterB,14,7,?,Scorecard,FighterA
52,FighterA,22,9,?,FighterB,17,15,?,Scorecard,FighterB
53,FighterA,25,21,?,FighterB,21,21,?,Scorecard,FighterA
54,FighterA,22,33,?,FighterB,13,34,?,Scorecard,FighterA
55,FighterA,13,26,?,FighterB,9,20,?,Scorecard,FighterA
56,FighterA,17,21,?,FighterB,10,10,?,Scorecard,FighterA
57,FighterA,26,7,?,FighterB,14,8,?,Scorecard,FighterA
58,FighterA,11,19,?,FighterB,6,17,?,Scorecard,FighterA
